time,signal,attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,blinkStrength,
122351,0,47,54,597604,6857,4402,4249,5122,6096,1810,566,142,
122352,0,51,41,186731,45404,2129,9054,9266,5570,4489,814,142,
122353,0,48,41,86114,111550,45406,21067,6116,9549,17742,7827,142,
122354,0,34,21,309997,238709,7493,33456,19844,10213,6141,4779,142,
122355,0,47,53,11495,9074,16403,26889,13675,8651,5114,2958,142,
122356,0,48,66,63315,17833,2922,14202,9290,4406,4075,3336,63,
122357,0,51,57,708667,143664,17123,37104,42208,15995,12785,5291,63,
122358,0,60,83,283030,9381,10049,7047,3747,2710,1583,2119,63,
122359,0,63,66,533872,34796,7093,21566,30012,18694,20197,6404,63,
122400,0,60,77,41777,81463,99414,43295,12957,19317,14266,6669,63,
122401,0,53,66,620648,430203,37006,14334,22223,15330,24212,4699,63,
122402,0,56,47,1115748,95348,2103,26806,21267,20156,16536,2977,63,
122403,0,44,35,1286194,286087,14709,20665,6478,22265,22485,5886,63,
122404,0,47,14,534955,60839,9057,10323,22661,7773,8258,5205,63,
122405,0,53,30,88711,77104,41161,8544,12763,9684,6427,4608,58,
122406,0,43,37,3475029,196820,49729,16854,13895,9411,5006,3022,58,
122408,0,44,63,37011,18618,15987,23545,12018,5963,8499,7984,58,
122409,0,54,63,312561,34530,5466,9783,8079,14517,5873,8518,58,
122410,0,63,60,30797,61165,6506,15798,13365,10900,9725,3376,45,
122412,0,63,38,1021461,121000,19279,9582,39423,13432,9239,11769,62,
122413,0,44,35,173190,192116,31158,8626,4309,16237,11889,8759,62,
122414,0,47,40,14114,36408,17866,8861,17246,9536,4949,4008,62,
122415,0,54,50,18781,14820,9351,2990,7924,9135,11427,1812,62,
122416,0,70,47,19682,14670,8524,2982,17948,7723,3452,3029,62,
122417,0,74,47,246575,134195,11474,20562,20728,14742,8694,5840,62,
122418,0,63,27,344029,80955,3398,4174,5550,2928,3439,1392,60,
122419,0,53,34,129479,97554,47710,15561,4483,12538,13092,3578,60,
122420,0,53,38,26959,44290,8386,26153,18393,25706,10475,8110,60,
122421,0,54,51,69453,54668,39415,9622,4569,11703,11399,3133,60,
122422,0,53,57,793733,200224,26561,9369,6911,6469,2330,2047,60,
122423,0,56,56,247698,55003,24749,20207,18413,13591,7204,18341,60,
122424,0,48,54,75824,53066,15303,10235,7014,8561,7878,7938,60,
122425,0,44,37,272811,285419,23251,22794,42105,21075,9556,2827,74,
122426,0,50,48,132526,268558,117313,11554,15404,22915,18662,3859,60,
122427,0,51,47,285405,72526,37797,22961,31617,20495,12048,4825,60,
